COG0824	3.1.2.-
COG0825	6.4.1.2
COG0826	3.4.-.-
COG0827	2.1.1.72
COG0831	3.5.1.5
COG0832	3.5.1.5
COG0835	2.7.13.3
COG0836	2.7.7.13
COG0837	2.7.1.2
COG0838	1.6.5.3
COG0839	1.6.5.3
COG0840	4.6.1.1
COG0843	1.9.3.1
COG0846	3.5.1.-
COG0847	2.7.7.7
COG0852	1.6.5.3
COG0853	4.1.1.11
COG0854	2.6.99.2
COG0855	2.7.4.1
COG0856	2.4.2.10
COG0857	2.3.1.8
COG0858	2.4.2.14
COG0859	2.4.-.-
COG0860	3.5.1.28
COG0863	2.1.1.72
COG1001	3.5.4.2
COG1002	2.1.1.72
COG1003	1.4.4.2
COG1004	1.1.1.22
COG1005	1.6.5.3
COG1006	1.6.5.3
COG1007	1.6.5.3
COG1008	1.6.5.3
COG1009	1.6.5.3
COG1010	2.1.1.131
COG1011	3.8.1.2
COG1015	5.4.2.7
COG1017	1.14.12.17
COG1019	2.7.7.3
COG1021	2.7.7.58
COG1022	6.2.1.3
COG1023	1.1.1.44
COG1025	3.4.24.56
COG1027	4.3.1.1
COG1029	1.2.99.5
COG1032	4.-.-.-
COG1034	1.6.5.3
COG1035	1.12.98.1
COG1038	6.4.1.1
COG1039	3.1.26.4
COG1040	2.4.2.14
COG1041	2.1.1.214
COG1042	6.2.1.13
COG1043	2.3.1.129
COG1044	2.3.1.191
COG1045	2.3.1.30
COG1047	5.2.1.8
COG1049	4.2.1.99
COG1049	4.2.1.3
COG1051	3.6.1.-
COG1053	1.3.99.1
COG1055	1.4.3.4
COG1056	2.7.7.1
COG1057	2.7.7.18
COG1058	2.7.7.2
COG1059	4.2.99.18
COG1059	3.2.2.-
COG1060	2.5.1.77
COG1061	3.6.4.12
COG1064	1.1.1.1
COG1067	3.4.21.-
COG1069	2.7.1.16
COG1070	2.7.1.17
COG1071	1.2.4.1
COG1072	2.7.1.33
COG1075	3.1.1.3
COG1076	3.5.4.5
COG1078	6.3.2.6
COG1080	2.7.3.9
COG1082	4.2.1.44
COG1083	2.7.7.43
COG1085	2.7.7.12
COG1086	4.2.1.115
COG1087	5.1.3.2
COG1088	4.2.1.46
COG1089	4.2.1.47
COG1091	1.1.1.133
COG1092	2.1.1.191
COG1095	2.7.7.6
COG1098	5.3.1.9
COG1100	2.7.11.1
COG1102	2.7.4.14
COG1103	2.5.1.73
COG1104	2.8.1.7
COG1105	2.7.1.56
COG1110	5.99.1.3
COG1110	3.6.4.12
COG1112	3.6.4.-
COG1113	4.3.1.12
COG1115	4.1.1.65
COG1116	3.6.3.-
COG1117	3.6.3.27
COG1118	3.6.3.25
COG1119	3.6.3.34
COG1120	3.6.3.34
COG1121	3.6.3.-
COG1122	3.6.3.-
COG1123	3.6.3.24
COG1124	3.6.3.24
COG1126	3.6.3.21
COG1129	3.6.3.17
COG1131	3.6.3.41
COG1132	3.6.3.-
COG1134	3.6.3.40
COG1135	3.6.3.28
COG1136	3.6.3.-
COG1137	3.6.3.-
COG1140	1.7.99.4
COG1141	2.1.1.33
COG1142	1.-.-.-
COG1143	1.6.5.3
COG1144	1.2.7.1
COG1145	1.6.5.3
COG1148	1.8.98.1
COG1150	1.8.98.1
COG1151	1.7.-.-
COG1152	1.2.7.4
COG1153	1.2.99.5
COG1154	2.2.1.7
COG1155	3.6.3.14
COG1156	3.6.3.14
COG1157	3.6.3.14
COG1160	1.1.1.95
COG1161	3.6.1.-
COG1162	3.6.1.-
COG1164	3.4.24.-
COG1165	2.2.1.9
COG1166	4.1.1.19
COG1168	4.4.1.8
COG1169	5.4.4.2
COG1171	4.3.1.19
COG1172	3.6.3.17
COG1173	3.6.3.24
COG1180	1.97.1.4
COG1181	6.3.2.4
COG1182	1.7.-.-
COG1183	2.7.8.8
COG1184	5.3.1.23
COG1185	2.7.7.8
COG1186	3.1.1.29
COG1189	2.1.1.226
COG1189	2.1.1.227
COG1190	6.1.1.6
COG1192	2.7.10.-
COG1194	3.2.2.-
COG1196	3.6.4.1
COG1197	3.6.4.-
COG1198	3.6.4.-
COG1199	3.6.4.12
COG1200	3.6.4.12
COG1201	3.6.4.-
COG1202	3.6.1.-
COG1205	3.6.1.-
COG1206	2.1.1.74
COG1207	2.7.7.23
COG1209	2.7.7.24
COG1210	2.7.7.9
COG1211	2.7.7.60
COG1212	2.7.7.38
COG1213	5.4.2.9
COG1214	3.4.-.-
COG1218	3.1.3.7
COG1219	3.1.-.-
COG1221	3.6.1.-
COG1222	3.4.24.64
COG1223	3.6.-.-
COG1224	3.6.4.12
COG1225	1.11.1.15
COG1226	3.6.1.22
COG1227	3.6.1.1
COG1228	3.5.2.7
COG1229	1.2.99.5
COG1231	1.4.3.4
COG1232	1.3.3.4
COG1234	3.1.26.11
COG1235	3.1.4.55
COG1236	3.1.27.-
COG1239	6.6.1.1
COG1240	6.6.1.1
COG1241	3.6.4.12
COG1243	2.3.1.48
COG1244	2.6.1.97
COG1246	2.3.1.1
COG1247	2.3.1.183
COG1249	1.8.1.4
COG1251	1.7.1.4
COG1252	1.6.99.3
COG1253	1.1.1.205
COG1254	3.6.1.7
COG1257	1.1.1.34
COG1258	5.4.99.-
COG1260	5.5.1.4
COG1262	2.7.11.1
COG1263	2.7.1.69
COG1264	2.7.1.69
COG1266	3.4.22.-
COG1267	3.1.3.27
COG1269	3.6.3.14
COG1270	6.3.1.10
COG1271	1.10.3.-
COG1274	4.1.1.32
COG1282	1.6.1.2
COG1287	2.4.99.18
COG1294	1.10.3.-
COG1295	3.4.11.18
COG1299	2.7.1.69
COG1303	2.1.1.206
COG1310	3.4.-.-
COG1311	2.7.7.7
COG1312	4.2.1.8
COG1313	1.97.1.4
COG1319	1.2.99.2
COG1324	2.7.1.24
COG1328	1.17.4.2
COG1330	3.1.11.5
COG1339	2.7.1.161
COG1340	3.1.3.3
COG1341	2.7.1.-
COG1344	6.2.1.17
COG1347	1.6.5.-
COG1348	1.18.6.1
COG1350	4.2.1.20
COG1351	2.1.1.148
COG1352	2.1.1.80
COG1357	4.6.1.1
COG1358	3.1.26.5
COG1359	3.1.1.29
COG1362	3.4.11.21
COG1363	3.2.1.4
COG1368	2.7.8.20
COG1369	3.1.26.5
COG1370	2.4.2.29
COG1376	1.3.99.-
COG1379	3.6.1.-
COG1381	2.6.99.2
COG1384	6.1.1.6
COG1385	2.1.1.193
COG1386	2.8.1.2
COG1386	2.8.1.1
COG1387	3.1.3.15
COG1388	3.5.1.28
COG1389	5.99.1.3
COG1390	3.6.3.14
COG1391	2.7.7.42
COG1393	1.20.4.1
COG1394	3.6.3.14
COG1396	2.3.1.19
COG1397	3.2.-.-
COG1398	1.14.19.1
COG1401	3.1.21.-
COG1402	3.5.2.10
COG1403	3.1.21.-
COG1404	3.4.21.-
COG1408	3.1.-.-
COG1410	2.1.1.13
COG1411	5.3.1.16
COG1413	1.14.99.29
COG1414	4.2.1.49
COG1418	2.1.1.206
COG1423	6.5.1.1
COG1424	6.2.1.14
COG1427	4.1.99.-
COG1429	6.6.1.2
COG1435	2.7.1.21
COG1436	3.6.3.14
COG1437	4.6.1.1
COG1439	6.3.2.19
COG1440	2.7.1.69
COG1441	4.2.1.113
COG1442	2.4.1.-
COG1443	5.3.3.2
COG1444	2.3.1.193
COG1445	2.7.1.69
COG1446	3.4.19.5
COG1447	2.7.1.69
COG1448	2.6.1.1
COG1449	3.2.1.1
COG1451	3.4.24.-
COG1453	1.1.1.274
COG1454	1.1.1.1
COG1455	2.7.1.69
COG1456	2.1.1.245
COG1460	2.7.7.6
COG1461	3.6.4.12
COG1465	1.4.1.24
COG1466	2.7.7.7
COG1467	2.7.7.-
COG1469	3.5.4.16
COG1472	3.2.1.21
COG1473	3.5.1.32
COG1475	1.1.1.205
COG1482	5.3.1.8
COG1487	2.3.1.30
COG1488	2.4.2.11
COG1490	3.1.-.-
COG1492	6.3.5.10
COG1494	3.1.3.11
COG1502	2.7.8.-
COG1505	3.4.21.26
COG1506	3.4.14.5
COG1507	3.6.1.40
COG1507	3.6.1.11
COG1509	5.4.3.2
COG1513	4.2.1.104
COG1514	6.5.1.-
COG1515	3.1.21.7
COG1520	6.2.1.-
COG1521	2.7.1.33
COG1522	2.4.2.18
COG1523	3.2.1.-
COG1525	3.1.31.1
COG1527	3.6.3.14
COG1528	1.16.3.1
COG1530	3.1.26.12
COG1533	4.1.99.14
COG1535	3.3.2.1
COG1538	2.4.1.12
COG1539	4.1.2.25
COG1541	6.2.1.30
COG1543	2.4.1.18
COG1545	2.3.1.-
COG1549	2.6.1.97
COG1553	2.8.1.-
COG1555	2.4.1.21
COG1560	2.3.1.-
COG1562	2.5.1.32
COG1564	2.7.6.2
COG1565	1.3.3.4
COG1565	2.1.1.79
COG1570	3.1.11.6
COG1573	2.7.7.7
COG1575	2.5.1.-
COG1575	2.5.1.74
COG1576	2.1.1.177
COG1577	2.7.1.36
COG1586	4.1.1.50
COG1587	4.2.1.75
COG1588	3.1.26.5
COG1589	6.3.2.4
COG1590	2.1.1.-
COG1592	1.18.-.-
COG1593	4.1.1.9
COG1595	2.7.7.6
COG1595	5.2.1.8
COG1597	2.7.1.91
COG1603	3.1.26.5
COG1605	5.4.99.5
COG1606	2.8.1.-
COG1607	3.1.2.-
COG1608	2.7.4.26
COG1609	5.1.1.1
COG1612	2.5.1.-
COG1613	2.7.7.4
COG1614	2.3.1.-
COG1618	3.6.1.15
COG1619	3.4.17.13
COG1621	3.2.1.26
COG1622	1.9.3.1
COG1626	3.2.1.28
COG1639	2.7.3.-
COG1640	2.4.1.25
COG1643	3.6.4.13
COG1644	2.7.7.6
COG1646	2.5.1.-
COG1647	3.1.1.1
COG1649	3.5.1.28
COG1651	5.3.4.1
COG1652	3.1.3.5
COG1653	2.2.1.6
COG1654	6.3.4.15
COG1658	3.1.26.8
COG1661	2.7.7.23
COG1661	2.3.1.157
COG1663	2.7.1.130
COG1670	2.3.1.128
COG1672	2.7.11.1
COG1676	3.1.27.9
COG1683	2.4.2.1
COG1685	2.7.1.71
COG1686	3.4.16.4
COG1690	6.5.1.3
COG1694	3.6.1.8
COG1696	2.3.1.-
COG1697	5.99.1.3
COG1701	6.3.2.36
COG1703	2.7.-.-
COG1708	2.7.7.47
COG1712	1.4.1.21
COG1713	2.7.7.18
COG1714	6.3.3.2
COG1716	2.7.11.1
COG1718	2.7.11.1
COG1722	3.1.11.6
COG1726	1.6.5.-
COG1731	2.5.1.9
COG1737	2.7.1.2
COG1739	3.4.13.9
COG1739	2.1.1.45
COG1740	1.12.99.6
COG1746	2.7.7.72
COG1754	5.99.1.2
COG1756	2.1.1.260
COG1758	2.7.7.6
COG1759	6.3.4.-
COG1760	4.3.1.17
COG1761	2.7.7.6
COG1762	2.7.1.69
COG1763	2.10.1.1
COG1767	2.7.8.25
COG1770	3.4.21.83
COG1773	1.18.1.1
COG1775	1.3.7.8
COG1776	2.7.13.3
COG1778	3.1.3.45
COG1780	1.17.4.1
COG1781	2.1.3.2
COG1785	3.1.3.1
COG1788	2.8.3.5
COG1791	1.13.11.54
COG1791	1.13.11.53
COG1793	6.5.1.1
COG1794	5.1.1.13
COG1795	4.3.-.-
COG1796	2.7.7.7
COG1798	2.1.1.98
COG1803	4.2.3.3
COG1804	2.8.3.16
COG1805	1.6.5.-
COG1807	2.4.2.43
COG1809	4.4.1.19
COG1810	2.1.1.45
COG1812	2.5.1.6
COG1816	3.5.4.4
COG1818	3.5.4.35
COG1819	2.4.1.17
COG1820	3.5.1.25
COG1828	6.3.5.3
COG1829	2.7.1.169
COG1830	4.1.2.13
COG1832	2.5.1.49
COG1833	4.2.99.18
COG1834	3.5.3.18
COG1835	2.3.1.-
COG1838	4.2.1.2
COG1840	2.7.13.3
COG1845	1.9.3.1
COG1846	2.4.2.28
COG1850	4.1.1.39
COG1853	1.5.1.-
COG1854	4.4.1.21
COG1858	1.11.1.5
COG1859	2.7.1.-
COG1861	5.4.3.8
COG1865	3.5.1.90
COG1866	4.1.1.49
COG1869	5.-.-.-
COG1871	3.5.1.44
COG1874	3.2.1.23
COG1876	3.4.16.4
COG1877	3.1.3.12
COG1878	3.5.1.9
COG1882	2.3.1.54
COG1883	4.1.1.3
COG1884	5.4.99.2
COG1887	2.7.8.12
COG1889	2.1.1.-
COG1891	4.1.2.25
COG1892	4.1.1.31
COG1893	1.1.1.169
COG1894	1.6.5.3
COG1896	3.1.3.5
COG1897	2.3.1.46
COG1898	5.1.3.13
COG1899	2.5.1.46
COG1901	2.1.1.257
COG1903	2.1.1.195
COG1904	5.3.1.12
COG1905	1.6.5.3
COG1908	1.12.99.-
COG1910	2.10.1.1
COG1917	4.1.1.44
COG1920	2.7.7.68
COG1921	2.9.1.1
COG1922	2.4.1.187
COG1924	1.3.7.8
COG1925	2.7.1.69
COG1926	2.4.2.-
COG1927	1.5.99.9
COG1928	2.4.1.109
COG1929	2.7.1.31
COG1932	2.6.1.52
